question,answer,box,date_created
Kävelitkö viime viikonloppuna meren rannalla?,en kävellyt,1,
Pesitkö eilen pyykit?,en pessyt pyykkiä,1,
Kuuntelitko eilen suomalaista musiikkia?,en kuunnellut,1,
Menitkö eilen kaverille?,en mennyt,1,
Menitkö viime viikonloppuna laivalla Tukholmaan?,en mennyt,1,
Ompelitko eilen?,en ommellut,1,
Juttelitko eilen tädin kanssa?,en jutellut,1,
Urheilitko viime viikolla?,en urheillut,1,
Keskustelitko eilen serkun kanssa?,en keskustellut,1,
Olitko eilen flunssainen?,en ollut,1,
Menitkö eilen Itäkeskukseen?,en mennyt,1,
Opiskelitko viime kesänä suomea?,en opiskellut,1,
Pyöräilitkö viime viikonloppuna metsässä?,en pyöräillyt,1,
Pesitkö eilen lattiat?,en pessyt lattiaa,1,
Menitkö eilen vaateostoksille?,menin,1,
Olitko eilen nepalilaisessa ravintolassa?,en ollut,1,
Tulitko eilen kotiin myöhään?,minä tulin,1,
Tulitko tänä aamuna kouluun kahdeksaksi?,en tullut,1,
Opiskelitko eilen kotona suomea?,opiskelin,1,
Latasiko eilen matkakortin?,en ladannut,1,
Pesitkö tänä aamuna koulussa kädet?,pesin,1,
Rukoilitko eilen?,rukoilin / en rukoillut,1,
Tiskasitko eilen koton?,tiskannut,1,
Katsoitko eilen jotain suomalaista ohjelmaa?,en katsonut,1,
Nukuitko huonosti viime yönä?,en nukkunut,1,
Yövitkö viime yönä kaverin luona?,En yöpynyt,2,
Matkustitko viime vuonna Itävaltaan?,en matkustanut,2,
Otitko tänä aamuna mukaan sateenvarjon?,en ottanut sateenvarjoa,2,
Lähditkö viime viikonloppuna Lahteen?,en lähtenyt,2,
Haitko viime viikolla ammattikouluun?,(hakea) en hakenut,2,
Luitko tänä aamuna Metro-lehteä?,en lukenut / luin,2,
Menitkö naimisiin kaksi vuotta sitten?,en mennyt,2,
"Tiesitkö, että entinen Suomen presidentti oli Tarja Halonen?",tiesin,2,
Soititko minulle eilen?,en soittanut,2,
Lensitkö viime vuonna kotimaahan?,en lentänyt,2,
Tykkäsitkö kieliharjoittelupaikasta?,tykkäsin,2,
Leivoitko viime viikolla pullaa?,en leiponut,2,
Palvelitko kieliharjoittelussa asiakkaita?,en palvellut,2,
Kävitkö viime kuussa eläintarhassa?,en käynyt,2,
Kuulitko kieliharjoittelussa uusia sanoja?,kuulin,2,
Ostitko viime viikolla jotain uutta itsellesi?,"kylla, ostin",2,
Tilasitko viime viikolla pizzaa kotiin?,en tilannut,2,
"Tiesitkö, että entinen Suomen pääkaupunki oli Turku?",tiesin,2,
Siivositko eilen kotona?,en siivonnut,2,
Korjasitko eilen tietokonetta?,korjasin / en korjannut,2,
"Oliko sinulla ikävä koulukavereita, kun olit kieliharjoittelussa?",minulla oli ikävä,2,
Söitkö eilen pikaruokaa?,en syönyt,2,
Joitko tänä aamuna kokista?,en juonut,2,
Näitkö eilen kaverin?,en nähnyt,2,
Otitko tänä aamuna mukaan eväitä?,en ottanut,2,
Minä syön / minä en syö …    juusto,juustoja,3,
tyttö,tyttöjä,3,
Minä syön / minä en syö …    kurkku,kurkkuja,3,
hylly,hyllyjä,3,
Minä syön / minä en syö …    tomaatti,tomaatteja,3,
Minä syön / minä en syö …    keksi,keksejä,3,
Minä syön / minä en syö …    pizza,pizzoja,3,
Minä syön / minä en syö …    kala,kaloja,3,
Minä syön / minä en syö …    kana,kanoja,3,
Minä syön / minä en syö …    muna,munia,3,
Minä syön / minä en syö …    leipä,leipiä,3,
pieni,pieniä,3,
herkullinen,herkullisia,3,
Minä syön / minä en syö …    hampurilainen,hampurilaisia,3,
Minä syön / minä en syö …    herne,herneitä,3,
tuore,tuoreita,3,
jää,jäitä,3,
Minä syön / minä en syö …    suklaa,suklaita,3,
Minä syön / minä en syö …    mansikka,mansikoita,3,
Minä syön / minä en syö …    sämpylä,sämpylöitä,3,
Minä syön / minä en syö …    peruna,perunoita,3,
Minä syön / minä en syö …    makkara,makkaroita,3,
Minä syön / minä en syö …    porkkana,porkkanoita,3,
Minä syön / minä en syö …    omena,omenoita,3,
Minä syön / minä en syö …    kakku,kakkuja,3,
Minä syön / minä en syö …    banaani,banaaneja,3,
asiakas,asiakkaita,3,
kysymys,kysymyksia,3,
Minä syön / minä en syö …    lihapulla,lihapullia,3,
Minä syön / minä en syö …    nakki,nakkeja,3,
Minä syön / minä en syö …    viinirypäle,viinirypäleleitä,3,
Minä syön / minä en syö …    hedelmä,hedelmiä,3,
Minä syön / minä en syö …    vihannes,vikanneksia,3,
Minä syön / minä en syö …    vastaus,vastauksia,3,
Minä syön / minä en syö …    ostos,ostoksia,3,
Helsingissä on paljon …    rakennus,rakennuksia,3,
Helsingissä on paljon …    kauppa,kauppaja,3,
Helsingissä on paljon …    ihminen,ihmisia,3,
Helsingissä on paljon …    suomalainen,suomalaisia,3,
Helsingissä on paljon …    turisti,turisteja,3,
Helsingissä on paljon …    puisto,puistoja,3,
Helsingissä on paljon …    ranta,rantoja,3,
Helsingissä on paljon …    juna,junia,3,
Minulla on paljon …    tavara,tavaroita,3,
Minulla on paljon …    ystävä,ystäviä,3,
Minulla on paljon …    sukulainen,sukulaisia,3,
Minulla on paljon …    kaveri,kavereita,3,
Minulla on paljon …    vaate,vaateita,3,
Minulla on paljon …    kotitehtävä,kotitehtäviä,3,
Minulla on paljon …    sormus,sormuksia,3,
Minulla on paljon …    sunnitelma,sunnitelmia,3,
